 2004dt 0.01972 0.01881 1.189 0.032 1.104 0.061 15.068 0.022 0.149 0.025 2.7 0.7 -0.0003 33.94 0.08 0.15                                                                                                                                                         
 2004ef 0.03097 0.02977 0.816 0.030 1.331 0.060 16.733 0.003 0.162 0.016 1.8 0.5 -0.0038 35.53 0.05 0.98                                                                                                                                                         
 2004eo 0.01569 0.01473 0.818 0.030 1.314 0.060 15.063 0.008 0.130 0.025 1.1 0.7 -0.0098 33.96 0.07 0.97                                                                                                                                                         
 2004ey 0.01578 0.01463 1.010 0.030 0.967 0.060 14.820 0.002 0.026 0.018 1.3 1.3 -0.0074 34.12 0.07 0.97                                                                                                                                                         
 2004gc 0.03208 0.03211 0.923 0.038 1.079 0.076 16.576 0.046 0.226 0.051 1.9 0.8 -0.0095 35.38 0.09 0.93                                                                                                                                                         
 2004gs 0.02663 0.02750 0.689 0.030 1.557 0.060 16.969 0.005 0.190 0.014 1.9 0.4 -0.0027 35.49 0.05 0.98                                                                                                                                                         
 2004gu 0.04583 0.04690 1.250 0.032 0.823 0.061 17.280 0.009 0.097 0.031 1.0 0.7 -0.0048 36.64 0.04 0.98                                                                                                                                                         
 2005A  0.01913 0.01834 0.963 0.032 1.057 0.064 17.117 0.015 1.165 0.021 1.7 0.1 -0.0013 34.37 0.07 0.97                                                                                                                                                         
 2005M  0.02200 0.02297 1.208 0.030 0.796 0.060 15.907 0.002 0.055 0.020 2.0 1.0 -0.0028 35.19 0.05 0.98                                                                                                                                                         
 2005W  0.00888 0.00795 0.923 0.031 1.111 0.062 14.034 0.006 0.232 0.019 1.9 0.6 -0.0041 32.82 0.15 0.97                                                                                                                                                         
 2005ag 0.07937 0.08002 1.190 0.031 0.916 0.060 18.443 0.005 0.031 0.018 1.6 1.3 -0.0024 37.82 0.04 0.98                                                                                                                                                         
 2005al 0.01239 0.01329 0.858 0.030 1.340 0.060 14.936 0.005 0.009 0.009 1.6 1.3 -0.0019 34.07 0.07 0.96                                                                                                                                                         
 2005am 0.00789 0.00897 0.725 0.030 1.490 0.060 13.619 0.004 0.078 0.016 1.1 0.8 -0.0060 32.45 0.10 0.84                                                                                                                                                         
 2005be 0.03500 0.03560 0.760 0.035 1.455 0.073 16.914 0.039 0.032 0.022 1.7 1.3 -0.0019 35.88 0.05 0.98                                                                                                                                                         
 2005bg 0.02307 0.02416 1.002 0.040 1.023 0.079 15.828 0.037 0.075 0.029 1.9 0.8 -0.0021 35.04 0.07 0.98                                                                                                                                                         
 2005bo 0.01389 0.01501 0.850 0.031 1.293 0.063 15.423 0.005 0.333 0.016 2.2 0.5 -0.0032 33.79 0.10 0.94                                                                                                                                                         
 2005el 0.01490 0.01489 0.838 0.030 1.352 0.060 14.943 0.007 0.007 0.008 1.5 1.4 -0.0031 34.04 0.07 0.97                                                                                                                                                         
 2005eq 0.02896 0.02835 1.122 0.032 0.813 0.060 16.241 0.006 0.109 0.017 2.4 0.6 -0.0054 35.40 0.04 0.98                                                                                                                                                         
 2005hc 0.04591 0.04498 1.193 0.031 0.875 0.061 17.305 0.004 0.037 0.017 2.4 1.2 -0.0004 36.64 0.04 0.96                                                                                                                                                         
 2005hj 0.05797 0.05695 1.280 0.034 0.796 0.062 17.695 0.009 0.027 0.034 1.3 1.3 -0.0088 37.05 0.04 0.98                                                                                                                                                         
 2005iq 0.03402 0.03293 0.872 0.030 1.278 0.061 16.814 0.005 0.030 0.011 2.2 1.2 -0.0023 35.91 0.04 0.97                                                                                                                                                         
 2005ir 0.07631 0.07525 1.121 0.036 0.884 0.065 18.352 0.011 0.078 0.017 2.0 0.8 -0.0014 37.66 0.04 0.98                                                                                                                                                         
 2005kc 0.01511 0.01389 0.899 0.031 1.176 0.061 15.342 0.007 0.314 0.025 2.2 0.3 -0.0066 33.83 0.07 0.97                                                                                                                                                         
 2005ki 0.01919 0.02037 0.825 0.030 1.359 0.060 15.597 0.004 0.017 0.011 1.4 1.3 -0.0039 34.67 0.05 0.97                                                                                                                                                         
